student,presentAllTests,filter_045-8h_2-3problems,filter_045-8h_predCeiling,filter_045-8h,complete_twoThirds,filter_predCeiling,test,timeOnTutor,problemsStarted,school,class,condition,condition2,sequence,form,duration,pretest_total,sum_rel_NL,sum_rel_comp,sum_rel_transfer,sum_rel_recUnit,sum_rel_total,sum_rel_NL_transfer,sum_rel_NL_transfer_recUnit,sum_rel_transfer_recUnit,pretest_total_median
Stu_3cf0015e21a21dabb53c1080cf14e5a7,1,1,1,1,1,1,1,3:39:08,126,1,4,2,moderate,4,3,0:21:00,0.417592593,0.1,0.5,0.583333333,0.625,0.417592593,0.31969697,0.401111111,0.601851852,1
Stu_4b66defa0ec037c2ddd793e2fb000a9a,1,1,1,1,1,1,1,4:00:16,118,2,17,7,numberline,17,2,0:30:00,0.411111111,0.4,0,0.5,0.625,0.411111111,0.445454545,0.493333333,0.555555556,1
Stu_8aae219d81719734ac10384bce85db87,1,1,1,1,1,1,1,4:01:10,116,2,7,1,blocked,7,1,0:22:00,0.551851852,0.6,0,0.666666667,0.75,0.551851852,0.63030303,0.662222222,0.703703704,1
Stu_67b0d1715e20120d2325188a693f5cfe,1,1,1,1,1,1,1,3:52:36,126,2,15,1,blocked,15,3,0:20:00,0.355555556,0.066666667,1,0,0.75,0.355555556,0.036363637,0.226666667,0.333333333,1
Stu_8ec0f8248f09202fd48bbdf90f4089a7,1,1,1,1,1,1,1,2:51:10,126,3,22,1,blocked,22,1,0:18:00,0.755555555,0.6,1,0.833333333,0.708333333,0.755555555,0.706060606,0.706666666,0.777777777,2
Stu_875d3347100e81b293e8ece803c78abf,1,1,1,1,1,1,1,2:56:25,126,2,15,1,blocked,15,1,0:23:00,0.666666667,0.666666667,1,0.5,0.625,0.666666667,0.590909091,0.6,0.555555556,2
Stu_3424f65fd324f5acbbcbfb1d1916e38d,1,1,0,1,1,0,1,1:53:29,126,4,29,1,blocked,29,2,0:11:00,0.822222222,0.8,1,1,0.5,0.822222222,0.890909091,0.786666667,0.777777778,2
Stu_13c739cc2ac583df28b45ae2917fbce6,1,1,1,1,1,1,1,3:43:22,107,4,25,7,numberline,25,2,0:20:00,0.218518519,0.1,0,0.166666667,0.625,0.218518519,0.13030303,0.262222222,0.370370371,1
Stu_75f479118f41c6a32f11c667e71dde42,1,1,1,1,1,1,1,3:14:35,126,3,22,2,moderate,22,1,0:38:00,0.42037037,0.233333333,0.666666667,0.333333333,0.625,0.42037037,0.278787878,0.371111111,0.462962963,1
Stu_1bfc65cd36fb6211ea966b1d86b77f3c,1,1,0,1,1,0,1,2:06:05,126,3,28,1,blocked,28,1,0:29:00,0.844444444,0.866666667,1,0.833333333,0.708333333,0.844444444,0.851515152,0.813333333,0.777777777,2
Stu_ef2f765890131f81827620e232b80476,1,1,1,1,1,1,1,3:07:27,112,3,20,5,circle,20,2,0:20:00,0.130555556,0.1,0.166666667,0.25,0,0.130555556,0.168181818,0.123333333,0.138888889,1
Stu_a7677f3a7978d2ea5bcb12eb9c738035,1,1,1,1,1,1,1,2:10:47,126,4,31,2,moderate,31,1,0:18:00,0.722222222,0.666666667,0.5,0.833333333,0.833333333,0.722222222,0.742424242,0.766666667,0.833333333,2
Stu_b16b9a1d043e26019df6f9359dd2d919,1,1,1,1,1,1,1,3:00:34,126,2,7,3,interleaved,7,3,0:25:00,0.50462963,0.666666667,0.166666667,0.416666667,0.625,0.50462963,0.553030303,0.572222222,0.509259259,1
Stu_e96bcec468fa5f96af04592eab19a44a,1,1,0,1,1,0,1,1:53:47,116,4,31,4,increased,31,2,0:23:00,0.781481482,0.733333333,0.666666667,1,0.666666667,0.781481482,0.854545454,0.804444444,0.851851852,2
